,Neighborhood,Population,Authorization_Previous,Authorization_Current,Authorization_Future,Grant_Existing,Grant_Current,Grant_Future,Capital_Expended,Capital_Year_0,Capital_Year_1,Capital_Year_2_5,Grant_Expended,Grant_Year_0,Grant_Year_1,GrantYear_2_5,External_Funds,Total_Project_Budget,total_expenditure,total_budget,expend_year_prior,expend_year_current,expend_year_future,budget_prior,budget_current,budget_future,budget_total,expend_total
0,Allston/Brighton,76951,370.82039219763226,221.5695702460007,129.95282712375408,12.995282712375408,0.0,0.0,67.25021117334407,140.6811867292173,80.86247092305493,433.54892074177076,0.0,0.0,0.0,12.995282712375408,13.255188366622916,748.5932606463854,735.3380722797624,748.5932606463854,207.93139790256137,80.86247092305493,446.54420345414616,383.81567491000766,221.5695702460007,129.95282712375408,748.5932606463854,735.3380722797624
1,Back Bay,18190,2362.8367234744364,170.42330951072017,0.0,597.1577240241891,0.0,0.0,51.01390874106652,398.57064321055526,1006.047278724574,1077.628202308961,367.6659153380979,117.82891698735568,87.96041781198461,23.702473886750962,467.2897196261682,3597.707476635514,3130.4177570093457,3597.707476635514,935.0793842770753,1094.0076965365586,1101.330676195712,2959.9944474986255,170.42330951072017,0.0,3597.707476635514,3130.4177570093457
2,Beacon Hill,9336,332.0479862896315,890.1028277634962,0.0,2463.5818337617825,0.0,0.0,0.0,10.711225364181663,74.97857754927163,1136.4610111396744,88.19965724078834,9.640102827763496,18.74464438731791,2346.9974293059126,0.0,3685.7326478149103,3685.7326478149103,3685.7326478149103,108.5509854327335,93.72322193658954,3483.458440445587,2795.629820051414,890.1028277634962,0.0,3685.7326478149103,3685.7326478149103
3,Charlestown,19120,5448.821548117155,2144.351464435146,0.0,2142.4373953974896,104.60251046025104,104.60251046025104,619.484780334728,242.18483263598327,2460.774058577406,4270.729341004184,863.5626569037657,27.4581589958159,298.11715481171547,1162.5044456066946,17838.259361924687,27783.07479079498,9944.815428870294,27783.07479079498,1752.6904288702929,2758.8912133891213,5433.233786610878,7591.258943514645,2248.9539748953976,104.60251046025104,27783.07479079498,9944.815428870294
4,Chinatown,6211,29914.056673643536,2672.677507647722,0.0,10799.54371276767,289.8084044437289,0.0,3387.0732571244566,5016.100466913541,15730.156174529062,8453.4042827242,2293.4511350829175,644.0186765416197,5683.464820479794,2468.417485107068,0.0,43676.086298502654,43676.086298502654,43676.086298502654,11340.643535662533,21413.620995008856,10921.821767831267,40713.600386411206,2962.4859120914507,0.0,43676.086298502654,43676.086298502654
5,Dorchester,122191,674.486983493056,1135.2309089867504,133.3977134158817,2.0459771996300873,0.49103452791122093,0.0,47.87428697694593,76.55711140755048,318.2128225483055,1500.471384962886,0.0,0.4091954399260175,1.7186208476892733,0.4091954399260175,13.667127693528982,1959.3197453167581,1945.6526176232292,1959.3197453167581,124.84059382442243,319.9314433959948,1500.880580402812,676.5329606926861,1135.7219435146615,133.3977134158817,1959.3197453167581,1945.6526176232292
6,Downtown/Government Center,13768,19272.95177222545,2852.992446252179,617.3736199883789,347.54503195816386,36.31609529343405,0.0,669.5001452643812,549.0622457873329,7125.104154561302,14399.651292852992,0.0,0.0,25.421266705403834,358.4398605461941,0.0,23127.178965717605,23127.178965717605,23127.178965717605,1218.562391051714,7150.525421266705,14758.091153399186,19620.496804183615,2889.308541545613,617.3736199883789,23127.178965717605,23127.178965717605
7,East Boston,43066,1255.0942739051688,133.74820043653926,0.0,46.44034737379835,0.0,0.0,386.04762457623184,100.59875539869039,300.93345098221334,601.2626433845725,0.0,0.0,0.0,46.44034737379835,15.00023220173687,1450.2830539172433,1435.2828217155065,1450.2830539172433,486.64637997492224,300.93345098221334,647.7029907583709,1301.5346212789673,133.74820043653926,0.0,1450.2830539172433,1435.2828217155065
8,Fenway-Kenmore,37493,323.79377483796975,0.0,16.269703678019898,0.0,0.0,0.0,0.0,8.001493612140933,33.339556717253885,298.7224281865948,0.0,0.0,0.0,0.0,0.0,340.06347851598963,340.06347851598963,340.06347851598963,8.001493612140933,33.339556717253885,298.7224281865948,323.79377483796975,0.0,16.269703678019898,340.06347851598963,340.06347851598963
9,Hyde Park,34172,126.85824651761676,8.19384291232588,58.52744937375629,0.0,0.0,0.0,2.555922977876624,16.826641694954933,62.580475242888916,111.61649888797847,0.0,0.0,0.0,0.0,0.0,193.57953880369894,193.57953880369894,193.57953880369894,19.38256467283156,62.580475242888916,111.61649888797847,126.85824651761676,8.19384291232588,58.52744937375629,193.57953880369894,193.57953880369894
10,Jamaica Plain,40015,1845.5579157815819,196.176433837311,0.0,0.0,0.0,0.0,37.06007747094839,399.04135949019116,345.2140197425965,1260.418892915157,0.0,0.0,0.0,0.0,0.0,2041.734349618893,2041.734349618893,2041.734349618893,436.1014369611396,345.2140197425965,1260.418892915157,1845.5579157815819,196.176433837311,0.0,2041.734349618893,2041.734349618893
11,Mattapan,23840,346.8959731543624,0.0,2230.0755033557048,0.0,1111.5771812080536,0.0,-0.7718120805369127,24.119127516778523,63.691275167785236,2489.93288590604,0.0,0.0,167.78523489932886,943.7919463087248,0.0,3688.548657718121,3688.548657718121,3688.548657718121,23.34731543624161,231.4765100671141,3433.7248322147652,346.8959731543624,1111.5771812080536,2230.0755033557048,3688.548657718121,3688.548657718121
12,Mission Hill,17518,242.16303230962438,57.08414202534536,0.0,0.0,0.0,0.0,0.0,12.843931955702706,127.01221600639343,159.39102637287363,0.0,0.0,0.0,0.0,0.0,299.24717433496977,299.24717433496977,299.24717433496977,12.843931955702706,127.01221600639343,159.39102637287363,242.16303230962438,57.08414202534536,0.0,299.24717433496977,299.24717433496977
13,North End,10805,1051.827857473392,5874.132346136048,56.455344747801945,0.0,0.0,0.0,11.350856085145766,60.15733456732994,433.27505784359096,6477.632299861175,0.0,0.0,0.0,0.0,1850.994909763998,8833.41045812124,6982.415548357242,8833.41045812124,71.5081906524757,433.27505784359096,6477.632299861175,1051.827857473392,5874.132346136048,56.455344747801945,8833.41045812124,6982.415548357242
14,Roslindale,29586,368.41749476103564,2892.2463327249375,0.0,8.449942540390726,177.44879334820524,0.0,0.0,19.43486784289867,883.8639897248698,2357.3649699182047,1.1436152234164807,0.17998377611032246,21.46285405259244,163.1122828364767,16.899885080781452,3463.4624484553506,3446.562563374569,3463.4624484553506,20.75846684242547,905.3268437774623,2520.477252754681,376.8674373014264,3069.6951260731425,0.0,3463.4624484553506,3446.562563374569
15,Roxbury,54533,1362.2486934516714,2086.9931967799316,5.464581079346451,795.4416041662846,0.0,64.18132140172006,122.05913850329158,178.0556727119359,589.5752113399226,2565.016448755799,153.83395375277354,80.08765334751435,78.39289971210093,547.3084187556159,37.31685401500009,4351.646250893954,4314.329396878954,4351.646250893954,534.0364183155153,667.9681110520236,3112.324867511415,2157.6902976179563,2086.9931967799316,69.64590248106651,4351.646250893954,4314.329396878954
16,South Boston,43496,1462.651738090859,1737.165831340813,344.8592974066581,351.6415302556557,187.48850469008644,482.5087364355343,133.7768760345779,298.1883391576237,441.40114033474345,2671.3105113113847,239.53556648887255,8.04671693948869,98.85966525657531,675.1968226963398,37.55517748758506,4603.8708157071915,4566.315638219607,4603.8708157071915,679.5474986205628,540.2608055913188,3346.5073340077247,1814.2932683465147,1924.6543360308995,827.3680338421924,4603.8708157071915,4566.315638219607
17,South End,30904,2708.8239386487185,1524.5599275174734,258.8661661920787,1346.2185801190785,32.35827077400984,0.0,170.5258866166192,247.08118690137198,1814.8136163603417,2259.829342479938,113.00317111053586,135.09578048149106,676.4496505306756,454.0282487703857,0.0,5870.826883251359,5870.826883251359,5870.826883251359,665.7060251100181,2491.2632668910173,2713.8575912503234,4055.042518767797,1556.9181982914833,258.8661661920787,5870.826883251359,5870.826883251359
18,West End,7705,389.3575600259572,0.0,0.0,259.57170668397146,0.0,0.0,0.0,0.0,0.0,389.3575600259572,0.0,0.0,0.0,259.57170668397146,0.0,648.9292667099286,648.9292667099286,648.9292667099286,0.0,0.0,648.9292667099286,648.9292667099286,0.0,0.0,648.9292667099286,648.9292667099286
19,West Roxbury,31561,909.6669940749659,631.6339786445296,0.0,0.0,0.0,0.0,34.65061309844428,285.1620671081398,410.1243940306074,811.3638984823041,0.0,0.0,0.0,0.0,0.0,1541.3009727194956,1541.3009727194956,1541.3009727194956,319.81268020658405,410.1243940306074,811.3638984823041,909.6669940749659,631.6339786445296,0.0,1541.3009727194956,1541.3009727194956
20,Citywide,675647,986.5526865360166,294.28955356865345,82.38475712909256,114.9978761098621,43.156698690292416,42.181790195175886,201.18002744036457,123.69722355016746,289.48446896086267,748.8652772823679,31.580809209542853,24.33551543927524,59.7575361098325,84.66250423667981,0.8140345476262013,1564.3773967767193,1563.563362229093,1564.3773967767193,380.79357563935014,349.2420050706952,833.5277815190477,1101.5505626458787,337.4462522589459,124.56654732426844,1564.3773967767193,1563.563362229093
