Neighborhood,Budget_per_Capita,White %,Black %,Hispanic %,Asian %,Other %
Back Bay,3680.048304560535,0.7335095315750998,0.04279367935668897,0.09644042062644098,0.10779958387223754,0.0194567845695327
Beacon Hill,3566.542288557214,0.8368573797678275,0.014303482587064677,0.06011608623548922,0.059908789386401325,0.028814262023217248
Charlestown,26707.510809451986,0.7386626445449975,0.051231774761186524,0.11050779286073403,0.08109602815485169,0.018501759678230267
Dorchester,1886.4795956157561,0.22255316801802866,0.43958269311081166,0.19926088772269895,0.09881095903363828,0.03979229211482243
East Boston,1321.496519476123,0.338763937964158,0.024776252036476737,0.5650720436705245,0.04584981909739119,0.02553794723144955
Hyde Park,169.94656253211386,0.2240006165861679,0.46351865173157947,0.2631281471585654,0.019602301921693557,0.029750282601993628
Jamaica Plain,1976.717155651259,0.5513739692172168,0.1425355421244525,0.22025105831110675,0.04903712041500477,0.03680230993221915
Mattapan,3298.510821861285,0.06046738437300724,0.7435012566112758,0.1414531677857384,0.018717881390899884,0.03586030983907874
Mission Hill,301.51915334176925,0.4115955366386748,0.1531116990682158,0.21373518923271598,0.19665247900609686,0.024905096054296562
North End,10909.24677105955,0.879186192707738,0.003314664533089496,0.07017944907989485,0.0328037489998857,0.014515944679391931
Roslindale,3413.2773725059124,0.5093434595782952,0.19336464474867593,0.23923253722394325,0.024982512241431,0.033076846207654644
Roxbury,4381.535145215192,0.10961762153579144,0.5030003138789905,0.30717675079854506,0.03517291039677997,0.045032403389893096
South Boston,5445.718617426302,0.7616664853693027,0.05612966387468726,0.11054606766017622,0.05629283150222996,0.01536495159360383
South End,2565.103988210371,0.5539897454791072,0.11264621902919775,0.1447606766755703,0.1527125356912591,0.035890823124865676
West End,755.4011179936547,0.6701918718839703,0.06995014352621241,0.1266052273757365,0.10666263786070404,0.026590119353376643
West Roxbury,1450.9634313667004,0.6736264391815308,0.12211418003937242,0.10069796575791923,0.07456899123068664,0.02899242379049096
