Neighborhood,Total_Project_Budget,Median Income
Back Bay,65442299.0,111185
Beacon Hill,34410000.0,110840.9
Charlestown,531212390.0,127399.6
Dorchester,239411239.0,55009.1
East Boston,62457890.0,60510.4
Hyde Park,6615000.0,72953.1
Jamaica Plain,80782500.0,97068.8
Mattapan,87935000.0,55968.4
Mission Hill,5242212.0,42803
North End,95445000.0,103998.6
Roslindale,102470000.0,84603.6
Roxbury,237308325.0,30534.3
South Boston,200249965.0,111541.1
South End,83548002.0,86949.6
West End,5000000.0,97437.9
West Roxbury,48645000.0,94538.4
