Neighborhood,Total_Project_Budget,sqMiles,Budget_per_sqm,Budget_per_pop
Bay Village,1525000.0,0.04,38125000.0,228.05443397637205
West End,5000000.0,0.3,16666666.666666668,629.5643414756988
Mission Hill,5242212.0,0.55,9531294.545454545,456.5591360390176
Hyde Park,6615000.0,4.57,1447483.588621444,393.30519055829717
Fenway-Kenmore,12750000.0,0.88,14488636.363636363,1297.18180893275
Beacon Hill,34410000.0,0.31,111000000.0,2617.3271468776147
West Roxbury,48645000.0,5.49,8860655.737704918,5309.430255402751
Allston/Brighton,57605000.0,4.44,12974099.099099098,43906.25
East Boston,62457890.0,4.71,13260698.513800425,3770.473287051011
Back Bay,65442299.0,0.62,105552095.16129032,18393.001405283867
Jamaica Plain,80782500.0,3.94,20503172.588832486,8806.551836912678
South End,83548002.0,0.74,112902705.4054054,15301.831868131869
Mattapan,87935000.0,2.11,41675355.45023697,17289.618560755014
North End,95445000.0,0.2,477225000.0,280720.5882352941
Roslindale,102470000.0,2.51,40824701.19521913,5293.418741605537
Harbor Islands,171778144.0,1.29,133161351.9379845,10459.60811057663
South Boston,200249965.0,3.22,62189430.1242236,4520.213200604952
Roxbury,237308325.0,3.29,72130189.96960486,11925.640735715362
Dorchester,239411239.0,7.29,32841047.873799726,17183.03588602598
Chinatown,271272172.0,0.14,1937658371.4285712,49985.65911184817
Downtown/Government Center,318415000.0,0.62,513572580.6451613,10895.667944155488
Charlestown,531212390.0,1.36,390597345.58823526,47319.82807767682
