DATE,APUS11A72610
1978-11-01,0.049
1978-12-01,0.052
1979-01-01,0.050
1979-02-01,0.050
1979-03-01,0.049
1979-04-01,0.053
1979-05-01,0.054
1979-06-01,0.053
1979-07-01,0.061
1979-08-01,0.059
1979-09-01,0.063
1979-10-01,0.063
1979-11-01,0.063
1979-12-01,0.063
1980-01-01,0.063
1980-02-01,0.065
1980-03-01,0.071
1980-04-01,0.070
1980-05-01,0.067
1980-06-01,0.068
1980-07-01,0.071
1980-08-01,0.069
1980-09-01,0.069
1980-10-01,0.074
1980-11-01,0.071
1980-12-01,0.080
1981-01-01,0.084
1981-02-01,0.087
1981-03-01,0.085
1981-04-01,0.085
1981-05-01,0.086
1981-06-01,0.086
1981-07-01,0.081
1981-08-01,0.084
1981-09-01,0.085
1981-10-01,0.084
1981-11-01,0.084
1981-12-01,0.082
1982-01-01,0.082
1982-02-01,0.086
1982-03-01,0.088
1982-04-01,0.088
1982-05-01,0.083
1982-06-01,0.085
1982-07-01,0.088
1982-08-01,0.087
1982-09-01,0.086
1982-10-01,0.083
1982-11-01,0.083
1982-12-01,0.082
1983-01-01,0.084
1983-02-01,0.081
1983-03-01,0.081
1983-04-01,0.079
1983-05-01,0.079
1983-06-01,0.081
1983-07-01,0.085
1983-08-01,0.086
1983-09-01,0.086
1983-10-01,0.088
1983-11-01,0.096
1983-12-01,0.095
1984-01-01,0.094
1984-02-01,0.095
1984-03-01,0.098
1984-04-01,0.096
1984-05-01,0.097
1984-06-01,0.095
1984-07-01,0.109
1984-08-01,0.105
1984-09-01,0.105
1984-10-01,0.104
1984-11-01,0.097
1984-12-01,0.097
1985-01-01,0.096
1985-02-01,0.094
1985-03-01,0.093
1985-04-01,0.090
1985-05-01,0.087
1985-06-01,0.083
1985-07-01,0.088
1985-08-01,0.088
1985-09-01,.
1985-10-01,0.093
1985-11-01,0.092
1985-12-01,0.092
1986-01-01,0.092
1986-02-01,0.083
1986-03-01,0.082
1986-04-01,0.079
1986-05-01,0.082
1986-06-01,0.081
1986-07-01,0.088
1986-08-01,0.085
1986-09-01,0.087
1986-10-01,0.085
1986-11-01,0.083
1986-12-01,0.079
1987-01-01,0.079
1987-02-01,0.082
1987-03-01,0.085
1987-04-01,0.083
1987-05-01,0.085
1987-06-01,0.086
1987-07-01,0.089
1987-08-01,0.092
1987-09-01,0.091
1987-10-01,0.092
1987-11-01,0.088
1987-12-01,0.084
1988-01-01,0.083
1988-02-01,0.085
1988-03-01,0.085
1988-04-01,0.086
1988-05-01,0.084
1988-06-01,0.084
1988-07-01,0.086
1988-08-01,0.087
1988-09-01,0.090
1988-10-01,0.088
1988-11-01,0.083
1988-12-01,0.082
1989-01-01,0.082
1989-02-01,0.086
1989-03-01,0.086
1989-04-01,0.091
1989-05-01,0.090
1989-06-01,0.094
1989-07-01,0.100
1989-08-01,0.097
1989-09-01,0.096
1989-10-01,0.094
1989-11-01,0.089
1989-12-01,0.089
1990-01-01,0.090
1990-02-01,0.092
1990-03-01,0.091
1990-04-01,0.091
1990-05-01,0.092
1990-06-01,0.091
1990-07-01,0.095
1990-08-01,0.096
1990-09-01,0.098
1990-10-01,0.104
1990-11-01,0.101
1990-12-01,0.101
1991-01-01,0.100
1991-02-01,0.099
1991-03-01,0.096
1991-04-01,0.097
1991-05-01,0.101
1991-06-01,0.102
1991-07-01,0.103
1991-08-01,0.105
1991-09-01,0.107
1991-10-01,0.106
1991-11-01,0.101
1991-12-01,0.103
1992-01-01,0.101
1992-02-01,0.099
1992-03-01,0.099
1992-04-01,0.100
1992-05-01,0.103
1992-06-01,0.104
1992-07-01,0.107
1992-08-01,0.105
1992-09-01,0.106
1992-10-01,0.106
1992-11-01,0.109
1992-12-01,0.108
1993-01-01,0.107
1993-02-01,0.108
1993-03-01,0.108
1993-04-01,0.106
1993-05-01,0.106
1993-06-01,0.107
1993-07-01,0.107
1993-08-01,0.108
1993-09-01,0.107
1993-10-01,0.106
1993-11-01,0.109
1993-12-01,0.108
1994-01-01,0.106
1994-02-01,0.112
1994-03-01,0.112
1994-04-01,0.112
1994-05-01,0.114
1994-06-01,0.115
1994-07-01,0.115
1994-08-01,0.115
1994-09-01,0.115
1994-10-01,0.114
1994-11-01,0.116
1994-12-01,0.115
1995-01-01,0.115
1995-02-01,0.115
1995-03-01,0.115
1995-04-01,0.116
1995-05-01,0.117
1995-06-01,0.118
1995-07-01,0.118
1995-08-01,0.118
1995-09-01,0.118
1995-10-01,0.117
1995-11-01,0.117
1995-12-01,0.117
1996-01-01,0.116
1996-02-01,0.115
1996-03-01,0.115
1996-04-01,0.116
1996-05-01,0.117
1996-06-01,0.118
1996-07-01,0.119
1996-08-01,0.119
1996-09-01,0.119
1996-10-01,0.119
1996-11-01,0.120
1996-12-01,0.121
1997-01-01,0.120
1997-02-01,0.122
1997-03-01,0.122
1997-04-01,0.123
1997-05-01,0.121
1997-06-01,0.122
1997-07-01,0.121
1997-08-01,0.121
1997-09-01,0.121
1997-10-01,0.120
1997-11-01,0.121
1997-12-01,0.120
1998-01-01,0.121
1998-02-01,0.119
1998-03-01,0.113
1998-04-01,0.109
1998-05-01,0.110
1998-06-01,0.111
1998-07-01,0.110
1998-08-01,0.111
1998-09-01,0.108
1998-10-01,0.108
1998-11-01,0.108
1998-12-01,0.107
1999-01-01,0.110
1999-02-01,0.109
1999-03-01,0.110
1999-04-01,0.110
1999-05-01,0.110
1999-06-01,0.111
1999-07-01,0.111
1999-08-01,0.111
1999-09-01,0.110
1999-10-01,0.108
1999-11-01,0.108
1999-12-01,0.108
2000-01-01,0.110
2000-02-01,0.110
2000-03-01,0.112
2000-04-01,0.111
2000-05-01,0.110
2000-06-01,0.111
2000-07-01,0.110
2000-08-01,0.111
2000-09-01,0.111
2000-10-01,0.111
2000-11-01,0.111
2000-12-01,0.112
2001-01-01,0.126
2001-02-01,0.125
2001-03-01,0.125
2001-04-01,0.125
2001-05-01,0.125
2001-06-01,0.124
2001-07-01,0.133
2001-08-01,0.133
2001-09-01,0.133
2001-10-01,0.128
2001-11-01,0.126
2001-12-01,0.126
2002-01-01,0.116
2002-02-01,0.116
2002-03-01,0.116
2002-04-01,0.110
2002-05-01,0.109
2002-06-01,0.115
2002-07-01,0.110
2002-08-01,0.110
2002-09-01,0.110
2002-10-01,0.104
2002-11-01,0.103
2002-12-01,0.103
2003-01-01,0.107
2003-02-01,0.107
2003-03-01,0.107
2003-04-01,0.107
2003-05-01,0.116
2003-06-01,0.121
2003-07-01,0.121
2003-08-01,0.121
2003-09-01,0.120
2003-10-01,0.115
2003-11-01,0.113
2003-12-01,0.113
2004-01-01,0.114
2004-02-01,0.115
2004-03-01,0.115
2004-04-01,0.115
2004-05-01,0.115
2004-06-01,0.121
2004-07-01,0.120
2004-08-01,0.121
2004-09-01,0.121
2004-10-01,0.120
2004-11-01,0.121
2004-12-01,0.121
2005-01-01,0.124
2005-02-01,0.125
2005-03-01,0.131
2005-04-01,0.131
2005-05-01,0.132
2005-06-01,0.137
2005-07-01,0.136
2005-08-01,0.136
2005-09-01,0.136
2005-10-01,0.131
2005-11-01,0.146
2005-12-01,0.146
2006-01-01,0.168
2006-02-01,0.170
2006-03-01,0.171
2006-04-01,0.171
2006-05-01,0.166
2006-06-01,0.172
2006-07-01,0.165
2006-08-01,0.165
2006-09-01,0.167
2006-10-01,0.161
2006-11-01,0.170
2006-12-01,0.170
2007-01-01,0.171
2007-02-01,0.171
2007-03-01,0.168
2007-04-01,0.168
2007-05-01,0.162
2007-06-01,0.163
2007-07-01,0.159
2007-08-01,0.159
2007-09-01,0.159
2007-10-01,0.158
2007-11-01,0.161
2007-12-01,0.161
2008-01-01,0.165
2008-02-01,0.165
2008-03-01,0.164
2008-04-01,0.164
2008-05-01,0.168
2008-06-01,0.170
2008-07-01,0.176
2008-08-01,0.176
2008-09-01,0.176
2008-10-01,0.177
2008-11-01,0.181
2008-12-01,0.181
2009-01-01,0.184
2009-02-01,0.184
2009-03-01,0.182
2009-04-01,0.182
2009-05-01,0.169
2009-06-01,0.171
2009-07-01,0.157
2009-08-01,0.157
2009-09-01,0.157
2009-10-01,0.155
2009-11-01,0.151
2009-12-01,0.151
2010-01-01,0.152
2010-02-01,0.154
2010-03-01,0.155
2010-04-01,0.155
2010-05-01,0.153
2010-06-01,0.155
2010-07-01,0.155
2010-08-01,0.155
2010-09-01,0.155
2010-10-01,0.153
2010-11-01,0.153
2010-12-01,0.153
2011-01-01,0.152
2011-02-01,0.152
2011-03-01,0.151
2011-04-01,0.151
2011-05-01,0.148
2011-06-01,0.150
2011-07-01,0.148
2011-08-01,0.148
2011-09-01,0.148
2011-10-01,0.146
2011-11-01,0.150
2011-12-01,0.150
2012-01-01,0.152
2012-02-01,0.152
2012-03-01,0.153
