DATE,APUS11A72610
2012-04-01,0.153
2012-05-01,0.143
2012-06-01,0.149
2012-07-01,0.145
2012-08-01,0.145
2012-09-01,0.145
2012-10-01,0.143
2012-11-01,0.146
2012-12-01,0.146
2013-01-01,0.150
2013-02-01,0.148
2013-03-01,0.147
2013-04-01,0.152
2013-05-01,0.153
2013-06-01,0.155
2013-07-01,0.157
2013-08-01,0.157
2013-09-01,0.157
2013-10-01,0.155
2013-11-01,0.167
2013-12-01,0.167
2014-01-01,0.173
2014-02-01,0.173
2014-03-01,0.173
2014-04-01,0.175
2014-05-01,0.167
2014-06-01,0.169
2014-07-01,0.169
2014-08-01,0.169
2014-09-01,0.169
2014-10-01,0.167
2014-11-01,0.203
2014-12-01,0.203
2015-01-01,0.225
2015-02-01,0.225
2015-03-01,0.226
2015-04-01,0.225
2015-05-01,0.197
2015-06-01,0.199
2015-07-01,0.179
2015-08-01,0.179
2015-09-01,0.179
2015-10-01,0.177
2015-11-01,0.194
2015-12-01,0.194
2016-01-01,0.203
2016-02-01,0.203
2016-03-01,0.205
2016-04-01,0.205
2016-05-01,0.197
2016-06-01,0.188
2016-07-01,0.186
2016-08-01,0.186
2016-09-01,0.187
2016-10-01,0.190
2016-11-01,0.195
2016-12-01,0.195
2017-01-01,0.201
2017-02-01,0.201
2017-03-01,0.205
2017-04-01,0.205
2017-05-01,0.206
2017-06-01,0.206
2017-07-01,0.204
2017-08-01,0.204
2017-09-01,0.204
2017-10-01,0.204
2017-11-01,0.214
2017-12-01,0.214
2018-01-01,0.233
2018-02-01,0.227
2018-03-01,0.228
2018-04-01,0.225
2018-05-01,0.219
2018-06-01,0.219
2018-07-01,0.213
2018-08-01,0.216
2018-09-01,0.216
2018-10-01,0.216
2018-11-01,0.225
2018-12-01,0.225
2019-01-01,0.233
2019-02-01,0.233
2019-03-01,0.234
2019-04-01,0.234
2019-05-01,0.225
2019-06-01,0.225
2019-07-01,0.215
2019-08-01,0.214
2019-09-01,0.214
2019-10-01,0.214
2019-11-01,0.225
2019-12-01,0.225
2020-01-01,0.232
2020-02-01,0.230
2020-03-01,0.231
2020-04-01,0.231
2020-05-01,0.220
2020-06-01,0.219
2020-07-01,0.213
2020-08-01,0.209
2020-09-01,0.209
2020-10-01,0.209
2020-11-01,0.217
2020-12-01,0.217
2021-01-01,0.230
2021-02-01,0.230
2021-03-01,0.234
2021-04-01,0.238
2021-05-01,0.227
2021-06-01,0.229
2021-07-01,0.225
2021-08-01,0.228
2021-09-01,0.228
2021-10-01,0.228
2021-11-01,0.244
2021-12-01,0.245
2022-01-01,0.266
2022-02-01,0.269
2022-03-01,0.267
2022-04-01,0.268
2022-05-01,0.257
2022-06-01,0.260
2022-07-01,0.270
2022-08-01,0.288
2022-09-01,0.289
2022-10-01,0.291
2022-11-01,0.358
2022-12-01,0.358
2023-01-01,0.391
2023-02-01,0.386
2023-03-01,0.389
2023-04-01,0.341
2023-05-01,0.328
2023-06-01,0.322
2023-07-01,0.291
2023-08-01,0.279
2023-09-01,0.279
2023-10-01,0.282
