latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.425304,-71.36563,47.0,0,GMT,GMT

time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),snowfall_sum (cm)
2021-08-13,94.3,72.3,81.9,0.00
2021-08-14,88.4,74.5,80.8,0.00
2021-08-15,82.1,63.2,73.6,0.00
2021-08-16,82.4,60.3,70.2,0.00
2021-08-17,81.8,64.2,71.6,0.00
2021-08-18,87.7,67.8,76.2,0.00
2021-08-19,78.5,69.2,73.2,0.00
2021-08-20,79.2,70.4,74.4,0.00
2021-08-21,85.2,71.5,77.0,0.00
2021-08-22,74.6,67.9,71.1,0.00
2021-08-23,78.3,69.5,73.4,0.00
2021-08-24,85.2,68.8,75.2,0.00
2021-08-25,89.3,70.3,78.7,0.00
2021-08-26,92.3,70.5,80.1,0.00
2021-08-27,91.5,73.3,80.8,0.00
2021-08-28,76.9,65.5,70.1,0.00
2021-08-29,75.9,61.7,66.8,0.00
2021-08-30,85.4,67.5,74.0,0.00
2021-08-31,82.8,65.1,74.6,0.00
2021-09-01,72.1,63.5,67.1,0.00
2021-09-02,72.2,58.2,63.5,0.00
2021-09-03,70.7,54.8,62.6,0.00
2021-09-04,75.5,57.5,65.2,0.00
2021-09-05,71.1,58.4,64.6,0.00
2021-09-06,78.6,64.4,69.9,0.00
2021-09-07,76.0,58.5,67.0,0.00
2021-09-08,80.7,59.6,69.3,0.00
2021-09-09,73.2,68.4,70.8,0.00
2021-09-10,72.2,62.2,66.7,0.00
2021-09-11,73.6,53.6,62.8,0.00
2021-09-12,80.9,61.6,69.2,0.00
2021-09-13,76.1,67.1,71.1,0.00
2021-09-14,75.6,58.0,65.6,0.00
2021-09-15,82.9,63.4,72.2,0.00
2021-09-16,74.7,63.8,67.3,0.00
2021-09-17,71.5,59.6,64.7,0.00
2021-09-18,78.0,62.8,68.1,0.00
2021-09-19,72.0,56.0,65.1,0.00
2021-09-20,72.1,54.3,61.7,0.00
2021-09-21,71.8,52.1,61.5,0.00
2021-09-22,74.9,62.3,68.3,0.00
2021-09-23,80.3,66.5,71.8,0.00
2021-09-24,72.6,65.0,70.2,0.00
2021-09-25,74.4,57.4,65.7,0.00
2021-09-26,71.3,59.6,64.5,0.00
2021-09-27,74.2,53.4,63.0,0.00
2021-09-28,70.4,61.7,65.7,0.00
2021-09-29,63.6,48.6,56.5,0.00
2021-09-30,60.4,48.8,55.1,0.00
2021-10-01,64.9,46.1,54.2,0.00
2021-10-02,72.1,48.5,58.1,0.00
2021-10-03,71.6,53.9,61.6,0.00
2021-10-04,58.9,56.2,57.9,0.00
2021-10-05,58.7,52.5,54.7,0.00
2021-10-06,68.5,53.3,59.1,0.00
2021-10-07,71.3,55.5,61.8,0.00
2021-10-08,71.4,54.4,60.7,0.00
2021-10-09,62.3,55.8,58.4,0.00
2021-10-10,62.6,53.3,57.1,0.00
2021-10-11,69.1,56.6,60.9,0.00
2021-10-12,72.6,55.1,61.4,0.00
2021-10-13,74.6,55.4,63.4,0.00
2021-10-14,75.8,58.0,64.6,0.00
2021-10-15,74.6,56.5,64.4,0.00
2021-10-16,75.0,62.9,67.5,0.00
2021-10-17,68.8,51.9,59.5,0.00
2021-10-18,59.2,47.4,52.5,0.00
2021-10-19,59.2,44.6,50.6,0.00
2021-10-20,70.6,52.2,59.4,0.00
2021-10-21,73.6,55.0,63.1,0.00
2021-10-22,69.4,58.3,62.4,0.00
2021-10-23,58.8,47.0,52.3,0.00
2021-10-24,56.4,40.2,48.0,0.00
2021-10-25,55.5,47.5,50.8,0.00
2021-10-26,59.5,49.7,54.7,0.00
2021-10-27,52.4,47.0,48.8,0.00
2021-10-28,52.7,43.2,48.1,0.00
2021-10-29,51.9,37.3,43.5,0.00
2021-10-30,59.1,46.8,52.6,0.00
2021-10-31,65.6,53.4,58.3,0.00
2021-11-01,57.9,48.4,54.1,0.00
2021-11-02,55.4,44.3,48.4,0.00
2021-11-03,49.6,36.7,44.4,0.00
2021-11-04,48.7,32.6,39.5,0.00
2021-11-05,48.1,32.3,39.8,0.00
2021-11-06,49.7,31.9,39.4,0.00
2021-11-07,53.0,34.2,41.5,0.00
2021-11-08,59.1,35.4,44.5,0.00
2021-11-09,65.0,41.4,50.4,0.00
2021-11-10,58.8,47.5,52.2,0.00
2021-11-11,54.2,36.4,44.2,0.00
2021-11-12,59.8,45.0,52.0,0.00
2021-11-13,57.9,39.3,48.5,0.00
2021-11-14,49.7,37.5,42.6,0.00
2021-11-15,47.6,37.2,42.0,0.00
2021-11-16,47.0,33.1,39.5,0.00
2021-11-17,46.2,30.8,37.7,0.00
2021-11-18,66.2,40.9,54.1,0.00
2021-11-19,58.4,40.0,46.1,0.00
2021-11-20,43.9,29.6,36.3,0.00
2021-11-21,51.9,35.6,42.0,0.00
2021-11-22,51.3,43.4,49.1,0.00
2021-11-23,42.2,30.1,34.7,0.00
2021-11-24,41.4,25.7,31.0,0.00
2021-11-25,51.0,31.1,38.1,0.00
2021-11-26,43.7,36.7,41.0,0.00
2021-11-27,36.2,30.6,33.9,1.82
2021-11-28,39.2,26.1,31.5,0.00
2021-11-29,39.2,29.2,33.7,0.00
2021-11-30,40.7,23.4,30.3,0.00
2021-12-01,45.1,29.8,36.1,0.07
2021-12-02,57.8,31.4,42.1,0.00
2021-12-03,52.5,32.2,40.8,0.00
2021-12-04,41.1,26.3,32.1,0.00
2021-12-05,43.5,31.4,36.1,0.14
2021-12-06,59.0,32.6,45.9,0.00
2021-12-07,58.8,33.7,40.8,0.00
2021-12-08,35.3,28.8,31.7,0.21
2021-12-09,37.0,25.1,29.8,0.49
2021-12-10,41.7,26.2,32.5,0.00
2021-12-11,57.4,27.1,38.8,0.00
2021-12-12,60.5,37.2,45.6,0.00
2021-12-13,49.7,36.0,41.3,0.00
2021-12-14,47.2,35.7,42.6,0.00
2021-12-15,42.7,25.6,34.3,0.00
2021-12-16,57.8,38.7,50.3,0.00
2021-12-17,59.3,44.3,53.3,0.00
2021-12-18,45.3,34.2,37.9,2.87
2021-12-19,40.0,26.3,34.8,0.14
2021-12-20,34.0,17.7,24.1,0.00
2021-12-21,44.2,25.8,33.2,0.00
2021-12-22,38.1,30.8,34.1,0.00
2021-12-23,33.4,23.5,28.0,0.00
2021-12-24,32.6,21.7,25.9,0.70
2021-12-25,33.3,23.6,28.4,0.00
2021-12-26,38.7,31.8,34.1,1.96
2021-12-27,33.7,25.4,29.8,0.00
2021-12-28,45.2,27.9,35.3,0.49
2021-12-29,39.4,32.7,35.8,0.21
2021-12-30,41.1,35.7,37.8,0.00
2021-12-31,46.7,33.7,39.5,0.00
