Area,Total Population,Median Age,0-9 years,% 0-9 years,10-17 years,% 10-17 years,18-19 years,% 18-19 years,20-34 years,% 20-34 years,35-59 years,% 35-59 years,60 and over,% 60 and over
United States ,324697795,38.2,39925147,0.122960942805294,33504245,0.10318593324602,8631219,0.0265823147952083,67045523,0.206485920238541,104705706,0.322471256695784,70885955,0.218313632219153 
Massachusetts,6850553,39.2,726905,0.106108952080219,644355,0.0940588299951843,208160,0.0303858681189679,1462935,0.213549913415749,2258851,0.329732650780163,1549347,0.226163785609716 
Boston,684379,32.8,62783,0.0917371807141949,46220,0.0675356783302819,30684,0.0448348064449669,237784,0.347444909911029,196133,0.286585356944032,110775,0.161862067655495 
Allston,19261,27.5,409,0.0212346191786512,331,0.0171849852032605,2359,0.122475468563418,13046,0.677327241576242,2307,0.119775712579825,809,0.0420019728986034 
Brighton,55297,30.8,3170,0.0573267989221838,2105,0.0380671645839738,1450,0.0262220373618822,29181,0.527713980866955,11485,0.207696620069805,7906,0.1429733981952 
Charlestown,19890,35.7,2978,0.149723479135244,996,0.0500754147812971,186,0.00935143288084465,5603,0.281699346405229,6824,0.343086978381096,3303,0.16606334841629 
Dorchester,126909,33.4,15104,0.119014411901441,13018,0.102577437376388,3478,0.0274054637574955,35771,0.281863382423626,38890,0.306440047593157,20648,0.162699256947892 
Downtown,18306,33.5,1122,0.0612913798754507,385,0.0210313558396154,2307,0.126024254342838,5942,0.324593029607779,4923,0.268928220255654,3627,0.198131760078663 
East Boston,47263,30.6,5319,0.112540465057233,3857,0.0816071768613926,1086,0.0229778050483465,14689,0.310792797748768,16270,0.34424391172799,6042,0.12783784355627 
Fenway,33489,26.3,509,0.0151990205739198,190,0.00567350473289737,8496,0.25369524321419,18072,0.539639881752217,3981,0.118874854429813,2241,0.0669174952969632 
Hyde Park,38924,39.4,4140,0.106361113965677,4148,0.106566642688316,606,0.0155688007399034,8221,0.211206453601891,13392,0.344055081697667,8417,0.216241907306546 
Jamaica Plain,40867,34.8,4232,0.103555435926297,2389,0.0584579244867497,674,0.016492524530795,13286,0.32510338414858,13387,0.327574815866102,6899,0.168815915041476 
Longwood,5351,20.2,8,0.00149504765464399,43,0.00803588114371146,2597,0.485329844888806,2575,0.481218463838535,65,0.0121472621939824,63,0.0117735002803214 
Mattapan,26659,36.7,3496,0.131137702089351,3072,0.115233129524738,575,0.0215687010015379,5582,0.209385198244495,9031,0.338759893469372,4903,0.183915375670505 
Mission Hill ,17386,30.1,660,0.0379615782813758,825,0.0474519728517198,1424,0.0819049810192109,8599,0.494593350972046,3163,0.181927988036351,2715,0.156160128839296 
North End ,8749,31.1,310,0.0354326208709567,199,0.0227454566236141,19,0.00217167676305864,5208,0.595268030632072,1818,0.20779517659161,1195,0.136587038518688 
Roslindale,30021,39.8,3412,0.11365377569035,2567,0.0855068118983378,555,0.0184870590586589,6310,0.210186202991239,11224,0.373871623197095,5953,0.198294527164318 
Roxbury,54161,32.5,6557,0.121064972951016,5289,0.0976532929598789,2669,0.0492790014955411,15059,0.278041395099795,15564,0.287365447462196,9023,0.166595890031573 
South Boston,36772,31.9,3165,0.0860709235287719,1496,0.0406831284673121,305,0.00829435440008702,16937,0.460595017948439,10206,0.277548134450125,4663,0.126808441205265 
South Boston Waterfront,4403,34.5,138,0.0313422666363843,51,0.0115830115830116,43,0.009766068589598,2038,0.46286622757211,1546,0.351124233477175,587,0.133318192141722 
South End ,32571,37.1,2421,0.0743299253937552,1544,0.0474041325105155,360,0.0110527770102238,11029,0.338614104571551,10922,0.335328973626846,6295,0.193270086887108 
West End ,6619,37.8,297,0.0448708264088231,125,0.0188850279498414,141,0.0213023115274211,2504,0.378304879891222,2168,0.327541924762049,1384,0.209095029460644 
West Roxbury,33526,42.8,4066,0.121279007337589,2829,0.084382270476645,319,0.00951500328103561,6062,0.180814889936169,11182,0.333532183976615,9068,0.270476644991947
