Neighborhood,Median Income
Allston,58141 
Back Bay,111185 
Beacon Hill,110841 
Brighton,77625 
Charlestown,127400 
Dorchester,55009 
Downtown,88750 
East Boston,60510 
Fenway,41041 
Hyde Park,72953 
Jamaica Plain,97069 
Longwood,42404 
Mattapan,55968 
Mission Hill,42803 
North End,103999 
Roslindale,84604 
Roxbury,30534 
South Boston,111541 
South Boston Waterfront,153545 
South End,86950 
West End,97438 
West Roxbury,94538 
